asset_id,ticker,asset_name,category,subcategory,status,shares_outstanding,offering_date,offering_price_per_share,offering_market_cap,first_trade_date,exit_date,exit_price_per_share,exit_value_total,exit_type,source_reference,verified_at,notes,rally_url,currency,implied_offering_market_cap,warning_reason,trading_state,lifecycle_event_type,lifecycle_event_status,lifecycle_event_date,status_updated_at,buyout_offer_date,buyout_offer_price_per_share,buyout_offer_total_value,buyout_reference_price,buyout_reference_price_date,buyout_premium_pct,buyout_vote_yes_pct,buyout_vote_no_pct,buyout_vote_advisory_pct,buyout_vote_as_of,buyout_vote_provisional,buyout_notes,underlying_collectible,significance,publisher,publication_year,issue_number,grade
rally-pappy1,PAPPY1,Pappy Van Winkle Bourbon Assortment,wine and whiskey,bourbon,trading,2000.0,2022-08-01,7.0,14000.0,,,,,,Rally App,2026-07-14T00:00:00Z,Currently trading. Submitted offering_date was 2022-08.,,,14000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-picnic,PICNIC,Hermès 35cm Picnic Kelly,handbags,kelly_picnic,trading,2000.0,2020-12-01,27.0,54000.0,,,,,,Rally App,2026-07-12T00:00:00Z,Currently trading. Submitted offering_date was 2020-12.,,,54000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-rabbit,RABBIT,The Tale of Peter Rabbit (First Edition),books,rare books,trading,10000.0,2022-08-01,4.6,46000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2022-08.,,,46000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-riviera,RIVIERA,1965 Rolex 1601 Datejust Joyera Riviera,watches,rolex,trading,6000.0,2021-04-01,5.0,30000.0,,,,,,Rally App,2026-07-12T00:00:00Z,Currently trading. Submitted offering_date was 2021-04.,,,30000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-rlexpepsi,RLEXPEPSI,Rolex GMT-Master II Pepsi Jubilee,watches,rolex,trading,2000.0,2019-11-01,8.9,17800.0,,,,,,Rally App,2026-07-12T00:00:00Z,Currently trading. Submitted offering_date was 2019-11.,,,17800.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-roosevelt,ROOSEVELT,Theodore Roosevelt - African Game Trails (Signed First Edition),books,rare books,trading,1000.0,2020-03-01,19.5,19500.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2020-03.,,,19500.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-shkspr4,SHKSPR4,"Shakespeare - Comedies, Histories & Tragedies",books,rare books,trading,1000.0,2020-07-01,115.0,115000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2020-07.,,,115000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-smurf,SMURF,Rolex Submariner Smurf,watches,rolex,trading,2000.0,2019-11-01,17.25,34500.0,,,,,,Rally App,2026-07-12T00:00:00Z,Currently trading. Submitted offering_date was 2019-11.,,,34500.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-snoopy,SNOOPY,Omega Speedmaster Silver Snoopy,watches,omega,trading,2000.0,2020-04-01,12.75,25500.0,,,,,,Rally App,2026-07-12T00:00:00Z,Currently trading. Submitted offering_date was 2020-04.,,,25500.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-soblack,SOBLACK,Hermès 30cm So Black Birkin,handbags,birkin_so_black,trading,1000.0,2020-09-01,56.0,56000.0,,,,,,Rally App,2026-07-12T00:00:00Z,Currently trading. Submitted offering_date was 2020-09.,,,56000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
